ticket_id,user_id,date_opened,issue_type
1000,8388,2025-08-25,Account Access
1001,6393,2024-01-19,General Inquiry
1002,8596,2025-09-19,Account Access
1003,594,2025-07-24,Billing
1004,2140,2024-08-31,Billing
1005,633,2025-07-01,General Inquiry
1006,1591,2025-09-08,Technical
1007,5129,2024-04-28,General Inquiry
1008,1173,2024-03-04,General Inquiry
1009,7467,2025-10-11,General Inquiry
1010,4764,2025-10-14,Technical
1011,1885,2024-05-13,Account Access
1012,642,2024-11-04,Technical
1013,2229,2024-03-06,General Inquiry
1014,7143,2024-03-03,Technical
1015,322,2024-12-20,Technical
1016,7982,2024-09-26,General Inquiry
1017,8307,2025-05-05,Account Access
1018,8731,2024-01-03,Technical
1019,1819,2024-10-16,General Inquiry
1020,4341,2025-10-11,Account Access
1021,2982,2025-01-24,Billing
1022,7970,2025-01-05,Technical
1023,2503,2025-07-11,Technical
1024,2891,2024-11-02,Account Access
1025,2891,2025-08-18,Technical
1026,8722,2025-05-19,Billing
1027,963,2024-10-13,Technical
1028,1889,2025-10-11,Billing
1029,9162,2024-03-01,General Inquiry
1030,7443,2024-03-02,Billing
1031,1668,2025-02-03,Technical
1032,7886,2025-06-05,General Inquiry
1033,6940,2024-07-06,Technical
1034,6951,2024-09-26,Technical
1035,232,2025-05-09,Billing
1036,776,2024-09-15,Technical
1037,5178,2024-10-10,Technical
1038,9257,2024-02-01,Technical
1039,277,2025-02-05,Technical
1040,7780,2025-09-15,Billing
1041,9788,2024-03-14,Billing
1042,2755,2025-06-27,Technical
1043,6222,2025-10-02,General Inquiry
1044,7625,2024-05-31,Account Access
1045,4717,2024-07-17,Technical
1046,5365,2025-04-17,Billing
1047,3742,2024-06-18,General Inquiry
1048,5776,2024-02-05,Technical
1049,2579,2025-01-11,Account Access
1050,4108,2025-01-06,Technical
1051,2953,2025-01-25,Technical
1052,8344,2024-11-20,Technical
1053,8292,2024-02-28,Billing
1054,2379,2025-02-11,General Inquiry
1055,8117,2025-06-27,General Inquiry
1056,3685,2025-03-26,Technical
1057,7062,2024-07-25,Technical
1058,2421,2024-05-05,Technical
1059,2448,2025-02-03,Account Access
1060,1634,2025-02-07,Technical
1061,7809,2024-05-03,Account Access
1062,3609,2025-01-25,Technical
1063,9391,2025-02-06,Account Access
1064,607,2024-06-11,Technical
1065,5513,2024-06-08,Account Access
1066,5892,2025-10-10,Technical
1067,4735,2024-12-22,Technical
1068,401,2025-09-01,Technical
1069,7918,2024-01-03,Technical
1070,3707,2025-03-03,Billing
1071,4109,2024-01-22,Technical
1072,3683,2024-12-21,Technical
1073,7061,2024-02-13,Billing
1074,3272,2025-02-12,General Inquiry
1075,8142,2025-05-10,General Inquiry
1076,3485,2024-04-10,Billing
1077,1634,2024-06-20,General Inquiry
1078,2405,2024-12-30,Technical
1079,1311,2024-08-19,Technical
1080,1455,2024-12-28,Billing
1081,1500,2025-07-01,Technical
1082,9854,2024-08-02,Account Access
1083,99,2025-07-25,General Inquiry
1084,2318,2024-10-21,Technical
1085,4950,2025-05-24,Technical
1086,3016,2025-03-21,Technical
1087,1013,2025-09-13,Billing
1088,3662,2024-04-21,Billing
1089,6314,2024-05-15,Technical
1090,642,2025-06-03,Technical
1091,5085,2024-06-23,Technical
1092,5172,2024-03-03,Account Access
1093,8468,2025-04-19,Technical
1094,5355,2024-08-09,Technical
1095,2131,2025-03-04,Billing
1096,7104,2025-08-09,Account Access
1097,957,2024-01-01,General Inquiry
1098,9987,2024-02-13,Technical
1099,4825,2024-06-01,Technical
1100,6945,2024-03-08,Account Access
1101,1923,2024-09-21,Technical
1102,5016,2024-12-14,Technical
1103,1650,2024-07-17,General Inquiry
1104,6335,2025-01-09,Account Access
1105,3471,2024-12-14,Billing
1106,8466,2024-03-31,Billing
1107,1625,2025-03-21,Account Access
1108,9010,2024-04-03,Technical
1109,4263,2025-01-16,Account Access
1110,5044,2024-10-17,General Inquiry
1111,4261,2024-02-19,General Inquiry
1112,1143,2025-05-06,General Inquiry
1113,3936,2024-03-13,General Inquiry
1114,5465,2024-11-19,Billing
1115,6414,2025-10-03,Technical
1116,2509,2024-03-29,Billing
1117,3535,2024-05-14,General Inquiry
1118,3455,2025-07-20,General Inquiry
1119,1152,2024-10-11,Account Access
1120,2251,2024-11-26,Account Access
1121,689,2025-06-14,Technical
1122,298,2024-02-12,Technical
1123,785,2024-09-07,Billing
1124,4994,2024-06-15,Billing
1125,9407,2025-01-27,Account Access
1126,2766,2025-03-06,Technical
1127,1898,2024-01-04,Billing
1128,4351,2024-09-10,General Inquiry
1129,9149,2024-07-10,Account Access
1130,7842,2024-02-09,General Inquiry
1131,7653,2025-01-04,General Inquiry
