user_id,tenure_days,days_since_last_event,total_support_tickets,has_billing_issue,plan_type,billing_cycle,churn
1,419,8,0.0,0.0,Basic,Annual,False
2,299,2,0.0,0.0,Basic,Monthly,False
3,341,37,1.0,0.0,Basic,Monthly,False
4,330,51,0.0,0.0,Basic,Annual,False
5,443,19,1.0,0.0,Basic,Annual,False
6,393,15,0.0,0.0,Premium,Monthly,False
7,426,6,0.0,0.0,Family,Annual,False
8,445,13,0.0,0.0,Basic,Monthly,False
9,629,37,5.0,1.0,Premium,Monthly,True
10,336,28,0.0,0.0,Family,Annual,False
11,423,15,1.0,0.0,Basic,Monthly,False
12,554,1,0.0,0.0,Family,Annual,False
13,403,11,0.0,0.0,Basic,Monthly,False
14,549,48,0.0,0.0,Premium,Annual,False
15,533,10,1.0,0.0,Family,Annual,False
16,397,20,0.0,0.0,Basic,Annual,False
17,637,44,1.0,0.0,Premium,Annual,False
18,344,5,0.0,0.0,Basic,Annual,False
19,404,13,1.0,0.0,Family,Annual,False
20,530,9,0.0,0.0,Family,Annual,False
21,642,9,0.0,0.0,Basic,Monthly,False
22,545,1,0.0,0.0,Basic,Annual,False
23,625,11,2.0,1.0,Premium,Annual,False
24,457,1,1.0,0.0,Premium,Annual,False
25,622,42,3.0,1.0,Basic,Monthly,True
26,297,13,0.0,0.0,Family,Annual,False
27,388,14,1.0,0.0,Basic,Annual,False
28,398,10,0.0,0.0,Basic,Annual,False
29,512,18,0.0,0.0,Family,Annual,False
30,297,0,1.0,0.0,Basic,Monthly,False
31,485,13,1.0,0.0,Premium,Monthly,False
32,338,1,1.0,0.0,Family,Annual,False
33,651,20,0.0,0.0,Premium,Annual,False
34,605,9,0.0,0.0,Basic,Annual,False
35,319,2,0.0,0.0,Basic,Annual,False
36,626,3,1.0,1.0,Family,Annual,False
37,515,11,0.0,0.0,Basic,Annual,False
38,333,8,1.0,0.0,Premium,Annual,False
39,419,0,0.0,0.0,Basic,Monthly,False
40,619,45,1.0,0.0,Family,Annual,False
41,322,10,1.0,0.0,Family,Annual,False
42,633,44,1.0,0.0,Premium,Monthly,False
43,389,12,0.0,0.0,Premium,Monthly,False
44,584,12,0.0,0.0,Premium,Annual,False
45,442,35,4.0,1.0,Basic,Monthly,True
46,514,5,1.0,0.0,Family,Annual,False
47,309,35,0.0,0.0,Premium,Monthly,False
48,376,25,1.0,0.0,Family,Annual,False
49,475,19,1.0,0.0,Premium,Monthly,False
50,517,6,1.0,0.0,Basic,Monthly,False
51,574,5,0.0,0.0,Basic,Annual,False
52,460,1,0.0,0.0,Premium,Monthly,False
53,417,70,1.0,1.0,Family,Annual,False
54,423,12,0.0,0.0,Premium,Monthly,False
55,484,0,0.0,0.0,Premium,Monthly,False
56,495,11,0.0,0.0,Family,Annual,False
57,323,7,2.0,0.0,Family,Annual,False
58,430,0,0.0,0.0,Basic,Monthly,False
59,628,18,0.0,0.0,Premium,Annual,False
60,526,34,0.0,0.0,Basic,Monthly,False
61,533,0,0.0,0.0,Premium,Annual,False
62,478,1,0.0,0.0,Premium,Annual,False
63,535,1,0.0,0.0,Premium,Annual,False
64,596,11,0.0,0.0,Basic,Monthly,False
65,354,17,0.0,0.0,Family,Annual,False
66,548,9,0.0,0.0,Premium,Monthly,False
67,294,46,1.0,1.0,Premium,Annual,False
68,623,1,0.0,0.0,Premium,Monthly,False
69,560,1,0.0,0.0,Family,Annual,False
70,526,7,0.0,0.0,Basic,Annual,False
71,410,3,0.0,0.0,Premium,Monthly,False
72,624,10,0.0,0.0,Family,Annual,False
73,367,20,0.0,0.0,Basic,Annual,False
74,652,33,4.0,1.0,Basic,Annual,True
75,550,8,0.0,0.0,Basic,Monthly,False
76,488,0,0.0,0.0,Family,Annual,False
77,415,34,1.0,1.0,Basic,Annual,True
78,437,33,1.0,1.0,Premium,Monthly,True
79,466,20,0.0,0.0,Basic,Monthly,False
80,366,4,0.0,0.0,Premium,Annual,False
81,378,16,0.0,0.0,Family,Annual,False
82,398,16,0.0,0.0,Basic,Annual,False
83,590,15,0.0,0.0,Family,Annual,False
84,442,2,1.0,0.0,Premium,Monthly,False
85,349,33,1.0,0.0,Family,Annual,False
86,525,21,0.0,0.0,Family,Annual,False
87,345,11,0.0,0.0,Family,Annual,False
88,515,30,0.0,0.0,Basic,Monthly,False
89,512,24,0.0,0.0,Premium,Monthly,False
90,365,33,1.0,0.0,Family,Annual,False
91,640,17,0.0,0.0,Family,Annual,False
92,313,17,2.0,0.0,Basic,Monthly,False
93,441,22,1.0,0.0,Premium,Monthly,False
94,296,15,0.0,0.0,Family,Annual,False
95,600,5,0.0,0.0,Family,Annual,False
96,552,11,0.0,0.0,Family,Annual,False
97,366,8,0.0,0.0,Premium,Monthly,False
98,564,18,1.0,0.0,Basic,Monthly,False
99,418,4,1.0,0.0,Family,Annual,False
100,419,13,1.0,1.0,Premium,Annual,False
101,451,12,0.0,0.0,Basic,Monthly,False
102,309,9,0.0,0.0,Premium,Annual,False
103,544,0,0.0,0.0,Premium,Monthly,False
104,545,41,2.0,1.0,Family,Annual,True
105,510,37,4.0,1.0,Family,Annual,True
106,566,4,0.0,0.0,Premium,Annual,False
107,365,2,1.0,0.0,Premium,Annual,False
108,574,28,1.0,0.0,Premium,Monthly,False
109,432,15,0.0,0.0,Basic,Annual,False
110,644,31,0.0,0.0,Basic,Annual,False
111,577,4,0.0,0.0,Basic,Annual,False
112,547,1,1.0,0.0,Premium,Annual,False
113,647,2,0.0,0.0,Premium,Annual,False
114,559,1,1.0,0.0,Premium,Monthly,False
115,546,32,0.0,0.0,Basic,Monthly,False
116,356,38,0.0,0.0,Basic,Monthly,False
117,294,44,1.0,0.0,Premium,Monthly,False
118,581,4,0.0,0.0,Family,Annual,False
119,501,29,1.0,1.0,Premium,Monthly,False
120,618,24,0.0,0.0,Basic,Annual,False
121,445,14,0.0,0.0,Basic,Monthly,False
122,422,22,0.0,0.0,Premium,Annual,False
123,472,8,1.0,0.0,Basic,Annual,False
124,364,2,0.0,0.0,Basic,Monthly,False
125,368,38,1.0,0.0,Family,Annual,False
126,457,11,0.0,0.0,Basic,Monthly,False
127,545,25,0.0,0.0,Basic,Annual,False
128,644,7,0.0,0.0,Family,Annual,False
129,639,5,0.0,0.0,Family,Annual,False
130,533,2,0.0,0.0,Basic,Monthly,False
131,393,12,0.0,0.0,Family,Annual,False
132,491,12,0.0,0.0,Premium,Monthly,False
133,415,2,0.0,0.0,Premium,Monthly,False
134,650,2,0.0,0.0,Family,Annual,False
135,450,1,0.0,0.0,Premium,Monthly,False
136,638,36,0.0,0.0,Family,Annual,True
137,513,1,1.0,0.0,Family,Annual,False
138,458,17,0.0,0.0,Premium,Monthly,False
139,487,0,0.0,0.0,Premium,Annual,False
140,357,2,0.0,0.0,Family,Annual,False
141,422,11,2.0,0.0,Premium,Annual,False
142,456,0,0.0,0.0,Premium,Annual,False
143,560,33,3.0,1.0,Family,Annual,True
144,497,58,0.0,0.0,Family,Annual,True
145,393,17,1.0,0.0,Premium,Annual,False
146,385,9,0.0,0.0,Premium,Annual,False
147,480,4,0.0,0.0,Basic,Annual,False
148,643,11,0.0,0.0,Premium,Annual,False
149,322,5,0.0,0.0,Basic,Monthly,False
150,324,15,0.0,0.0,Family,Annual,False
151,496,1,0.0,0.0,Family,Annual,False
152,412,5,0.0,0.0,Basic,Monthly,False
153,380,2,1.0,0.0,Basic,Monthly,False
154,531,1,0.0,0.0,Family,Annual,False
155,339,39,0.0,0.0,Premium,Annual,False
156,641,4,0.0,0.0,Family,Annual,False
157,446,36,0.0,0.0,Family,Annual,True
158,398,34,5.0,1.0,Premium,Monthly,True
159,372,8,0.0,0.0,Family,Annual,False
160,604,21,1.0,0.0,Basic,Monthly,False
161,396,2,1.0,0.0,Premium,Monthly,False
162,359,6,0.0,0.0,Premium,Annual,False
163,371,3,1.0,0.0,Basic,Monthly,False
164,335,13,1.0,0.0,Family,Annual,False
165,498,4,0.0,0.0,Premium,Monthly,False
166,480,10,0.0,0.0,Basic,Annual,False
167,583,4,1.0,0.0,Basic,Annual,False
168,377,12,0.0,0.0,Basic,Annual,False
169,410,2,0.0,0.0,Family,Annual,False
170,541,4,0.0,0.0,Basic,Monthly,False
171,618,17,0.0,0.0,Premium,Monthly,False
172,334,22,1.0,0.0,Basic,Annual,False
173,447,28,0.0,0.0,Premium,Monthly,False
174,440,1,1.0,0.0,Premium,Monthly,False
175,411,6,0.0,0.0,Basic,Monthly,False
176,458,14,1.0,0.0,Premium,Monthly,False
177,616,31,0.0,0.0,Premium,Monthly,False
178,610,34,0.0,0.0,Basic,Monthly,False
179,325,31,1.0,0.0,Premium,Monthly,False
180,614,39,0.0,0.0,Premium,Monthly,False
181,598,1,0.0,0.0,Premium,Monthly,False
182,569,11,0.0,0.0,Basic,Annual,False
183,432,30,4.0,1.0,Basic,Annual,True
184,602,6,0.0,0.0,Premium,Annual,False
