user_id,plan_type,billing_cycle,signup_date,is_churner
1,Basic,Annual,2024-08-25,False
2,Basic,Monthly,2024-12-23,False
3,Basic,Monthly,2024-11-11,False
4,Basic,Annual,2024-11-22,False
5,Basic,Annual,2024-08-01,False
6,Premium,Monthly,2024-09-20,False
7,Family,Annual,2024-08-18,False
8,Basic,Monthly,2024-07-30,False
9,Premium,Monthly,2024-01-28,True
10,Family,Annual,2024-11-16,False
11,Basic,Monthly,2024-08-21,False
12,Family,Annual,2024-04-12,False
13,Basic,Monthly,2024-09-10,False
14,Premium,Annual,2024-04-17,False
15,Family,Annual,2024-05-03,False
16,Basic,Annual,2024-09-16,False
17,Premium,Annual,2024-01-20,False
18,Basic,Annual,2024-11-08,False
19,Family,Annual,2024-09-09,False
20,Family,Annual,2024-05-06,False
21,Basic,Monthly,2024-01-15,False
22,Basic,Annual,2024-04-21,False
23,Premium,Annual,2024-02-01,False
24,Premium,Annual,2024-07-18,False
25,Basic,Monthly,2024-02-04,True
26,Family,Annual,2024-12-25,False
27,Basic,Annual,2024-09-25,False
28,Basic,Annual,2024-09-15,False
29,Family,Annual,2024-05-24,False
30,Basic,Monthly,2024-12-25,False
31,Premium,Monthly,2024-06-20,False
32,Family,Annual,2024-11-14,False
33,Premium,Annual,2024-01-06,False
34,Basic,Annual,2024-02-21,False
35,Basic,Annual,2024-12-03,False
36,Family,Annual,2024-01-31,False
37,Basic,Annual,2024-05-21,False
38,Premium,Annual,2024-11-19,False
39,Basic,Monthly,2024-08-25,False
40,Family,Annual,2024-02-07,False
41,Family,Annual,2024-11-30,False
42,Premium,Monthly,2024-01-24,False
43,Premium,Monthly,2024-09-24,False
44,Premium,Annual,2024-03-13,False
45,Basic,Monthly,2024-08-02,True
46,Family,Annual,2024-05-22,False
47,Premium,Monthly,2024-12-13,False
48,Family,Annual,2024-10-07,False
49,Premium,Monthly,2024-06-30,False
50,Basic,Monthly,2024-05-19,False
51,Basic,Annual,2024-03-23,False
52,Premium,Monthly,2024-07-15,False
53,Family,Annual,2024-08-27,False
54,Premium,Monthly,2024-08-21,False
55,Premium,Monthly,2024-06-21,False
56,Family,Annual,2024-06-10,False
57,Family,Annual,2024-11-29,False
58,Basic,Monthly,2024-08-14,False
59,Premium,Annual,2024-01-29,False
60,Basic,Monthly,2024-05-10,False
61,Premium,Annual,2024-05-03,False
62,Premium,Annual,2024-06-27,False
63,Premium,Annual,2024-05-01,False
64,Basic,Monthly,2024-03-01,False
65,Family,Annual,2024-10-29,False
66,Premium,Monthly,2024-04-18,False
67,Premium,Annual,2024-12-28,False
68,Premium,Monthly,2024-02-03,False
69,Family,Annual,2024-04-06,False
70,Basic,Annual,2024-05-10,False
71,Premium,Monthly,2024-09-03,False
72,Family,Annual,2024-02-02,False
73,Basic,Annual,2024-10-16,False
74,Basic,Annual,2024-01-05,True
75,Basic,Monthly,2024-04-16,False
76,Family,Annual,2024-06-17,False
77,Basic,Annual,2024-08-29,True
78,Premium,Monthly,2024-08-07,True
79,Basic,Monthly,2024-07-09,False
80,Premium,Annual,2024-10-17,False
81,Family,Annual,2024-10-05,False
82,Basic,Annual,2024-09-15,False
83,Family,Annual,2024-03-07,False
84,Premium,Monthly,2024-08-02,False
85,Family,Annual,2024-11-03,False
86,Family,Annual,2024-05-11,False
87,Family,Annual,2024-11-07,False
88,Basic,Monthly,2024-05-21,False
89,Premium,Monthly,2024-05-24,False
90,Family,Annual,2024-10-18,False
